ticker,company,sector,country,revenue,prior_revenue,ebitda,prior_ebitda,ebit,net_income,interest_expense,da,total_debt,cash,total_assets,total_equity,invested_capital,capex,operating_cash_flow,free_cash_flow,enterprise_value,market_cap
MMM,3M Company,Industrials,US,24948000000.0,24575000000.0,6467000000.0,7373000000.0,5159000000.0,3250000000.0,946000000.0,1308000000.0,12602000000.0,5235000000.0,37733000000.0,4702000000.0,17304000000.0,910000000.0,2306000000.0,1396000000.0,80583163904,75339161600
AME,AMETEK Inc,Industrials,US,7401116000.0,6941180000.0,2302397000.0,2157428000.0,1879593000.0,1480142000.0,81254000.0,422804000.0,2344442000.0,457951000.0,16067543000.0,10628786000.0,12912095000.0,130248000.0,1801763000.0,1671515000.0,50024747008,47929651200
ROK,Rockwell Automation,Industrials,US,8342000000.0,8264000000.0,1398000000.0,1571000000.0,1073000000.0,869000000.0,156000000.0,325000000.0,3647000000.0,468000000.0,11219000000.0,3654000000.0,6878000000.0,186000000.0,1544000000.0,1358000000.0,42876805120,39520264192
ITW,Illinois Tool Works,Industrials,US,16044000000.0,15898000000.0,4655000000.0,5107000000.0,4258000000.0,3066000000.0,292000000.0,397000000.0,9211000000.0,851000000.0,16148000000.0,3225000000.0,12194000000.0,419000000.0,3126000000.0,2707000000.0,83016327168,74655334400
GGG,Graco Inc,Industrials,US,2236604000.0,2113316000.0,751526000.0,678860000.0,644093000.0,521839000.0,2893000.0,107433000.0,51596000.0,624083000.0,3274270000.0,2653931000.0,2678627000.0,45669000.0,683591000.0,637922000.0,13276249088,13886573568
ROP,Roper Technologies,Industrials,US,7902500000.0,7039200000.0,3159300000.0,3039200000.0,2261100000.0,1536300000.0,325000000.0,898200000.0,9349300000.0,297400000.0,34577000000.0,19881500000.0,29182500000.0,104700000.0,2540300000.0,2435600000.0,44687392768,37072486400
GNRC,Generac Holdings,Industrials,US,4209147000.0,4295834000.0,464592000.0,670919000.0,269757000.0,159554000.0,70697000.0,194835000.0,1498263000.0,341413000.0,5573679000.0,2632422000.0,3874573000.0,169850000.0,437978000.0,268128000.0,12456738816,11408182272
TTC,Toro Company,Industrials,US,4510400000.0,4583800000.0,579600000.0,702900000.0,436700000.0,316100000.0,59100000.0,142900000.0,1041100000.0,341000000.0,3438800000.0,1453300000.0,2374800000.0,83700000.0,662000000.0,578300000.0,9953210368,8997463040
MIDD,Middleby Corp,Industrials,US,3201202000.0,3150239000.0,681408000.0,763566000.0,576103000.0,-277731000.0,93828000.0,105305000.0,2192524000.0,222239000.0,6315166000.0,2776229000.0,4949231000.0,71843000.0,630197000.0,558354000.0,8131920384,6479254528
AIXI,Xponential Fitness,Industrials,US,70314315.0,59165259.0,-11087232.0,-19585992.0,-12231508.0,-14505464.0,2319820.0,1144276.0,45856239.0,846593.0,85511474.0,-12202414.0,32874020.0,371291.0,-15138249.0,-15509540.0,51600656,1708728
ABT,Abbott Laboratories,Healthcare,US,44328000000.0,41950000000.0,12075000000.0,10790000000.0,8959000000.0,6524000000.0,493000000.0,3116000000.0,13860000000.0,8522000000.0,86713000000.0,52130000000.0,65059000000.0,2171000000.0,9566000000.0,7395000000.0,186539638784,180701642752
BDX,Becton Dickinson,Healthcare,US,21840000000.0,20178000000.0,4956000000.0,4819000000.0,2494000000.0,1678000000.0,613000000.0,2462000000.0,19181000000.0,641000000.0,55325000000.0,25390000000.0,44571000000.0,760000000.0,3431000000.0,2671000000.0,62783455232,55978213376
EW,Edwards Lifesciences,Healthcare,US,6067600000.0,5439500000.0,1449900000.0,1723100000.0,1293300000.0,1073500000.0,20400000.0,156600000.0,705400000.0,2938000000.0,13697200000.0,10337600000.0,10935900000.0,260200000.0,1595200000.0,1335000000.0,42559770624,46080671744
ISRG,Intuitive Surgical,Healthcare,US,10064700000.0,8352100000.0,3622600000.0,2848600000.0,2945500000.0,2856000000.0,,677100000.0,,3368000000.0,20458700000.0,17824000000.0,17824000000.0,539800000.0,3030500000.0,2490700000.0,155106951168,160771112960
STE,Steris PLC,Healthcare,US,5459515000.0,5138701000.0,1358683000.0,1412405000.0,882468000.0,614641000.0,86261000.0,476215000.0,2202540000.0,171701000.0,10146811000.0,6603405000.0,8647106000.0,370091000.0,1148087000.0,777996000.0,23161061376,21533452288
WST,West Pharmaceutical,Healthcare,US,3074100000.0,2893200000.0,772800000.0,743900000.0,601400000.0,493700000.0,500000.0,171400000.0,321100000.0,791300000.0,4270000000.0,3176000000.0,3378800000.0,285900000.0,754800000.0,468900000.0,17061329920,17541060608
TECH,Bio-Techne Corp,Healthcare,US,1219635000.0,1159060000.0,216875000.0,313136000.0,106972000.0,73400000.0,8509000.0,109903000.0,444058000.0,162186000.0,2557868000.0,1918808000.0,2264808000.0,31006000.0,287556000.0,256550000.0,8142645248,7971295744
HOLX,Hologic Inc,Healthcare,US,4100500000.0,4030300000.0,1098100000.0,1296200000.0,798300000.0,565700000.0,117100000.0,299800000.0,2626800000.0,1959500000.0,9014900000.0,5047900000.0,7555800000.0,152400000.0,1057100000.0,904700000.0,17046641664,16892942336
ALGN,Align Technology,Healthcare,US,4034964000.0,3999012000.0,822747000.0,816798000.0,585311000.0,410351000.0,,237436000.0,114446000.0,1094908000.0,6233693000.0,4049147000.0,4049147000.0,102445000.0,593223000.0,490778000.0,10879459328,11937765376
MMSI,Merit Medical Systems,Healthcare,US,1515906000.0,1356514000.0,332047000.0,295944000.0,197398000.0,128489000.0,26461000.0,134649000.0,821572000.0,446404000.0,2685922000.0,1584303000.0,2318341000.0,84836000.0,297371000.0,212535000.0,4459924480,4084756992
